idx	deg	nvars	litbits	nmon	coefbits
1035	2	17	6	23	6
1036	2	15	26	20	47
1037	2	22	24	25	28
1038	2	8	15	21	24
1039	2	17	15	17	20
1040	4	34	6	933	14
1041	2	6	16	12	22
1042	4	13	16	78	27
1043	4	5	6	51	14
1044	1	10	6	11	8
1045	2	32	28	37	35
1046	2	8	24	7	32
1047	2	19	16	26	35
1048	2	11	24	10	43
1049	4	37	24	378	57
1050	2	18	28	17	56
1051	2	14	24	14	31
1052	4	9	27	163	40
1053	4	12	6	289	16
1054	2	27	24	31	34
1055	2	30	6	33	11
1056	4	15	6	105	11
1057	4	8	293	21	586
1058	2	35	15	45	21
1059	4	33	14	816	27
1060	2	16	6	15	9
1061	2	32	24	33	46
1062	4	12	6	55	12
1063	2	33	28	36	57
1064	2	33	27	43	33
1065	2	36	24	40	32
1066	8	27	24	31059	118
1067	4	10	6	201	14
1068	2	19	296	15	320
1069	2	30	24	35	41
1070	1	18	6	18	6
1071	1	10	16	10	22
1072	2	16	24	12	28
1073	4	8	6	136	15
1074	2	20	28	24	34
1075	2	10	296	7	312
1076	4	16	6	229	13
1077	4	8	6	129	13
1078	2	5	16	11	22
1079	4	20	6	276	13
1080	4	22	6	300	12
1081	2	29	24	31	43
1082	2	15	23	15	44
1083	2	6	6	13	7
1084	2	32	28	36	34
1085	4	24	6	405	13
1086	4	28	16	523	28
1087	8	7	6	450	24
1088	2	12	27	16	33
1089	4	16	6	528	14
1090	1	26	6	27	7
1091	4	33	24	661	54
1092	2	6	16	13	22
1093	2	26	24	28	28
1094	2	13	28	17	33
1095	2	20	24	21	50
1096	4	10	5	88	13
1097	2	24	16	32	23
1098	2	13	6	10	8
1099	2	19	20	24	40
1100	4	18	6	248	13
1101	2	26	19	35	25
1102	2	27	24	31	32
1103	2	30	6	496	13
1104	2	26	6	31	6
1105	2	18	16	24	26
1106	2	25	296	19	320
1107	4	35	24	703	75
1108	1	16	27	16	32
1109	2	10	6	20	7
1110	2	12	6	9	9
1111	2	25	25	30	32
1112	2	15	13	17	19
1113	2	9	16	11	21
1114	2	17	6	22	11
1115	2	20	24	23	48
1116	4	24	27	325	83
1117	2	18	23	11	44
1118	2	24	24	17	46
1119	2	14	5	11	5
1120	4	22	6	253	12
